[REC-MISS] Landroid/app/ActivityManager;.getMemoryClass caller=Lorg/telegram/messenger/ImageLoader;.<init>
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXP093-SVC] getSystemService("accessibility") → Landroid/view/accessibility/AccessibilityManager;
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/tgnet/ConnectionsManager;.getInstance pc=26 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/tgnet/ConnectionsManager;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/tgnet/ConnectionsManager;.getInstance pc=26 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/tgnet/ConnectionsManager;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXP093-SVC] getSystemService("activity") → Landroid/app/ActivityManager;
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/tgnet/ConnectionsManager;.getInstance pc=26 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/tgnet/ConnectionsManager;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
[EXCEPTION] method=Lorg/telegram/messenger/MessagesController;.getInstance pc=33 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(no try covering pc) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lorg/telegram/messenger/MessagesController;.getInstance — unwinding frame (propagate to caller)
[EXCEPTION] method=Lj$/util/stream/r1;.a pc=7 exception=Ljava/lang/IllegalStateException; msg="called wrong accept method" try_range=(none) handler=NOT_FOUND msg="called wrong accept method"
[EXCEPTION] no handler for Ljava/lang/IllegalStateException; in Lj$/util/stream/r1;.a — unwinding frame (propagate to caller)
