APP_ID,CATEGORY,TYPE,STATUS,VERSION,VCODE,LICENSE,SOURCE_URL,REF_SCREENSHOT
se.tube42.p9.android,Puzzle/Game,mandatory,DISCOVERED,0.1.1,11,,https://github.com/tube42/9p,https://f-droid.org/repo/se.tube42.p9.android/en/phoneScreenshots/p1.png
io.timelimit.android.aosp.direct,Productivity/Parental,mandatory,DISCOVERED,7.7.1,231,,https://codeberg.org/timelimit/timelimit-android,https://f-droid.org/repo/io.timelimit.android.aosp.direct/en-US/phoneScreenshots/17366373453547418553.png
com.qwde.ccm,board-game,game,DISCOVERED,,,,,
com.astroloop.game,action-game,game,DISCOVERED,,,,,
app.halma,board-game,game,DISCOVERED,,,,,
com.jeffliu.balancetheball,action-game,game,DISCOVERED,,,,,
crypto.o0o0o0o0o.games.blackjack,card-game,game,DISCOVERED,,,,,
eu.veldsoft.no.thanks,card-game,game,DISCOVERED,,,,,
com.simondalvai.ball2box,shooter-game,game,DISCOVERED,,,,,
si.palcka.tarok,card-game,game,DISCOVERED,,,,,
cos.premy.mines,puzzle-game,game,DISCOVERED,,,,,
com.sidhant.puzzle,puzzle-game,game,DISCOVERED,,,,,
com.ivylopez.authsrng,casual-game,game,DISCOVERED,,,,,
io.github.hathibelagal.mykanji,educational-game,game,DISCOVERED,,,,,
io.github.ebraminio.bouncy,action-game,game,DISCOVERED,,,,,
de.tobiasbielefeld.solitaire,card-game,game,DISCOVERED,,,,,
eu.quelltext.memory,educational-game,game,DISCOVERED,,,,,
com.sidhant.queens,puzzle-game,game,DISCOVERED,,,,,
page.codeberg.lanticy.guandan,card-game,game,DISCOVERED,,,,,
xyz.deepdaikon.quinb,action-game,game,DISCOVERED,,,,,
com.vayunmathur.games.solitaire,card-game,game,DISCOVERED,,,,,
bim.app,action-game,game,DISCOVERED,,,,,
de.schwarz.boardgamepal,board-game,game,DISCOVERED,,,,,
com.dash1971.maia_chess,board-game,game,DISCOVERED,,,,,
org.secuso.privacyfriendlybattleship,board-game,game,DISCOVERED,,,,,
com.kingalex.kingpong,casual-game,game,DISCOVERED,,,,,
com.vovagorodok.blichess,board-game,game,DISCOVERED,,,,,
io.itch.pirate_solitaire,card-game,game,DISCOVERED,,,,,
com.dozingcatsoftware.dodge,action-game,game,DISCOVERED,,,,,
com.helddertierwelt.mentalmath,educational-game,game,DISCOVERED,,,,,
com.sidhant.bubbleshooter,puzzle-game,game,DISCOVERED,,,,,
net.tigr.navyfleetbattle,board-game,game,DISCOVERED,,,,,
com.hazelhope.dubster.hamtest,educational-game,game,DISCOVERED,,,,,
ca.rmen.nounours,casual-game,game,DISCOVERED,,,,,
com.nima.triviaapp,educational-game,game,DISCOVERED,,,,,
ru.wohlsoft.thextech.fdroid,platformer-game,game,DISCOVERED,,,,,
com.willie.mancala,board-game,game,DISCOVERED,,,,,
org.lichess.mobileV2,board-game,game,DISCOVERED,,,,,
de.georgsieber.ballbreak,action-game,game,DISCOVERED,,,,,
com.quietgrid.app,puzzle-game,game,DISCOVERED,,,,,
com.octbit.rutmath,educational-game,game,DISCOVERED,,,,,
