path,size_bytes,size_mb,ftype,purpose,sha256
miniandroid/download/exp038_telegram/Telegram.apk,82680854,78.85,OTHER,,
miniandroid/run/exp076/nl.hansdezwart.bgclock_2/view_tree.json,23445875,22.36,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp076/Telegram/view_tree.json,22907354,21.85,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/screenshot.ppm,6220817,5.93,SCREENSHOT_PPM,DEBUG_TEMP,
miniandroid/download/tictactoe.apk,4474946,4.27,OTHER,,
miniandroid/download/exp076_corpus/com.benny.openlauncher_39.apk,3457024,3.30,OTHER,,
miniandroid/download/exp076_corpus/io.github.yamin8000.dooz_18.apk,1749880,1.67,OTHER,,
miniandroid/run/exp080/tg_d8fix/view_tree.json,1437951,1.37,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp081/tg_desc2/view_tree.json,1406767,1.34,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp081/tg_static/view_tree.json,1399639,1.33,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp078/telegram_bf/view_tree.json,1396047,1.33,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp078/telegram_fix2/view_tree.json,1304350,1.24,VIEW_TREE_DUMP,GENERATED_OUTPUT,
miniandroid/run/exp037_tiny/screenshot.png,1152862,1.10,SCREENSHOT_PNG,GENERATED_OUTPUT,c3c208a169a7dadd21b199e6e9f42d919393f5d1951762cdd5841f18fb98136a
miniandroid/run/exp054_asan2/screenshot.png,1152862,1.10,SCREENSHOT_PNG,GENERATED_OUTPUT,87310353bf52e1bf96e69282b1d40af52fae82a56097b6b0b37d5ac90f3a3859
